,uid,uname,pwd,upvoteCourses,reviewCourses,addedCourses,interest1,interest2,interest3
63,63,User63,abcs123,"[93, 12]",38,[],Data Analysis,Data Analysis,Python
64,64,User64,abcs123,"[40, 54]",77,[],.NET,.NET,Flutter
65,65,User65,abcs123,"[40, 85]",42,[],C++,Data Analysis,Web Development
66,66,User66,abcs123,"[32, 47]",58,[],Unity,VR/AR,.NET
67,67,User67,abcs123,"[19, 87]",69,[],Machine Learning,Machine Learning,Unity
68,68,User68,abcs123,"[60, 8]",63,[],Python,Unity,.NET
69,69,User69,abcs123,"[11, 10]",64,[],VR/AR,Web Development,Web Development
70,70,User70,abcs123,"[11, 55]",34,[],C++,Kotlin,Java
71,71,User71,abcs123,"[12, 95]",14,[],Web Development,Web Development,Machine Learning
72,72,User72,abcs123,"[94, 47]",20,[],Machine Learning,VR/AR,Java
73,73,User73,abcs123,"[16, 71]",58,[],C++,C,Unity
74,74,User74,abcs123,"[7, 75]",32,[],Machine Learning,Data Analysis,Web Development
75,75,User75,abcs123,"[71, 71]",23,[],C,C,Unity
76,76,User76,abcs123,"[42, 85]",94,[],Web Development,Unity,C
77,77,User77,abcs123,"[15, 52]",37,[],Java,Web Development,Web Development
78,78,User78,abcs123,"[45, 85]",86,[],VR/AR,Kotlin,Kotlin
79,79,User79,abcs123,"[96, 54]",24,[],Data Analysis,Flutter,Kotlin
80,80,User80,abcs123,"[92, 6]",78,[],Flutter,C++,Java
81,81,User81,abcs123,"[36, 76]",51,[],Data Analysis,C,Java
82,82,User82,abcs123,"[39, 45]",54,[],Data Analysis,VR/AR,Machine Learning
83,83,User83,abcs123,"[13, 73]",41,[],C++,C,.NET
84,84,User84,abcs123,"[64, 27]",51,[],VR/AR,VR/AR,Python
85,85,User85,abcs123,"[19, 84]",12,[],Web Development,Unity,C
86,86,User86,abcs123,"[61, 28]",17,[],Unity,Flutter,Unity
87,87,User87,abcs123,"[13, 44]",41,[],VR/AR,.NET,Data Analysis
88,88,User88,abcs123,"[71, 47]",0,[],VR/AR,.NET,.NET
89,89,User89,abcs123,"[14, 97]",49,[],Machine Learning,Web Development,Web Development
90,90,User90,abcs123,"[35, 73]",57,[],.NET,C,Python
91,91,User91,abcs123,"[28, 54]",34,[],VR/AR,Kotlin,Machine Learning
92,92,User92,abcs123,"[71, 98]",38,[],Flutter,Python,C++
93,93,User93,abcs123,"[79, 78]",92,[],Kotlin,Web Development,VR/AR
94,94,User94,abcs123,"[86, 82]",1,[],Unity,Web Development,.NET
95,95,User95,abcs123,"[71, 3]",83,[],C++,C++,.NET
96,96,User96,abcs123,"[77, 84]",88,[],Flutter,C,Python
97,97,User97,abcs123,"[88, 34]",7,[],Java,.NET,VR/AR
98,98,User98,abcs123,"[3, 23]",15,[],C,.NET,Web Development
99,99,User99,abcs123,"[34, 89]",39,[],Web Development,VR/AR,.NET
100,100,User100,abcs123,"[97, 39]",51,[],VR/AR,Data Analysis,Python
101,101,User101,abcs123,"[43, 44]",64,[],Unity,Java,Flutter
102,102,User102,abcs123,"[0, 23]",98,[],Kotlin,Java,Java
103,103,User103,abcs123,"[18, 72]",88,[],C++,Java,Kotlin
104,104,User104,abcs123,"[84, 51]",81,[],VR/AR,VR/AR,VR/AR
105,105,User105,abcs123,"[8, 18]",47,[],Data Analysis,C++,Java
106,106,User106,abcs123,"[94, 81]",28,[],Python,Kotlin,Web Development
107,107,User107,abcs123,"[3, 11]",17,[],C++,Java,Flutter
108,108,User108,abcs123,"[95, 67]",19,[],Python,Unity,.NET
109,109,User109,abcs123,"[27, 48]",95,[],Data Analysis,Flutter,C
110,110,User110,abcs123,"[53, 58]",47,[],C,VR/AR,VR/AR
111,111,User111,abcs123,"[43, 20]",89,[],Web Development,Machine Learning,Java
112,112,User112,abcs123,"[47, 39]",60,[],Machine Learning,Web Development,Machine Learning
113,113,User113,abcs123,"[92, 41]",68,[],C++,Kotlin,Java
114,114,User114,abcs123,"[99, 72]",85,[],.NET,VR/AR,Data Analysis
115,115,User115,abcs123,"[76, 10]",27,[],Unity,VR/AR,C
116,116,User116,abcs123,"[6, 19]",31,[],Data Analysis,.NET,Data Analysis
117,117,User117,abcs123,"[20, 96]",96,[],C++,Data Analysis,Data Analysis
118,118,User118,abcs123,"[79, 6]",10,[],VR/AR,Machine Learning,VR/AR
119,119,User119,abcs123,"[86, 10]",57,[],Java,C++,Machine Learning
120,120,User120,abcs123,"[34, 56]",90,[],C,VR/AR,Flutter
121,121,User121,abcs123,"[84, 54]",9,[],VR/AR,Web Development,Data Analysis
122,122,User122,abcs123,"[62, 77]",14,[],Java,C++,C
123,123,User123,abcs123,"[56, 53]",70,[],Flutter,C++,Unity
124,124,User124,abcs123,"[34, 27]",25,[],Web Development,Flutter,Java
125,125,User125,abcs123,"[96, 65]",68,[],Flutter,Python,Web Development
126,126,User126,abcs123,"[14, 44]",21,[],C++,Python,VR/AR
127,127,User127,abcs123,"[55, 14]",66,[],Unity,C++,C
128,128,User128,abcs123,"[36, 86]",14,[],Kotlin,Java,Kotlin
129,129,User129,abcs123,"[86, 75]",26,[],Kotlin,.NET,Python
130,130,User130,abcs123,"[62, 67]",74,[],Web Development,Machine Learning,Java
131,131,User131,abcs123,"[85, 39]",11,[],Unity,Java,Machine Learning
132,132,User132,abcs123,"[5, 28]",57,[],.NET,C,Data Analysis
133,133,User133,abcs123,"[50, 76]",7,[],C,VR/AR,Web Development
134,134,User134,abcs123,"[7, 0]",16,[],.NET,.NET,Data Analysis
135,135,User135,abcs123,"[26, 38]",53,[],C,C++,Machine Learning
136,136,User136,abcs123,"[27, 98]",72,[],Data Analysis,Unity,C
137,137,User137,abcs123,"[17, 97]",71,[],C++,Unity,Kotlin
138,138,User138,abcs123,"[32, 37]",86,[],Flutter,C,Python
139,139,User139,abcs123,"[41, 15]",39,[],Kotlin,Java,VR/AR
140,140,User140,abcs123,"[0, 63]",2,[],Java,C,Kotlin
141,141,User141,abcs123,"[95, 55]",32,[],Machine Learning,C++,Java
142,142,User142,abcs123,"[22, 16]",0,[],Python,Flutter,C
143,143,User143,abcs123,"[48, 68]",27,[],Machine Learning,VR/AR,Python
144,144,User144,abcs123,"[90, 29]",9,[],Flutter,Unity,C++
145,145,User145,abcs123,"[64, 71]",54,[],VR/AR,Python,Kotlin
146,146,User146,abcs123,"[85, 45]",89,[],Flutter,Machine Learning,Data Analysis
147,147,User147,abcs123,"[9, 50]",69,[],VR/AR,C,.NET
148,148,User148,abcs123,"[94, 5]",8,[],C,C++,Java
149,149,User149,abcs123,"[55, 2]",4,[],.NET,Flutter,VR/AR
150,150,User150,abcs123,"[58, 9]",52,[],Machine Learning,Unity,Java
151,151,User151,abcs123,"[40, 73]",98,[],C,Kotlin,Python
152,152,User152,abcs123,"[54, 73]",98,[],C,Java,C++
153,153,User153,abcs123,"[51, 90]",93,[],.NET,Python,Web Development
154,154,User154,abcs123,"[81, 53]",53,[],Java,Kotlin,Kotlin
155,155,User155,abcs123,"[37, 14]",48,[],Kotlin,C++,Flutter
156,156,User156,abcs123,"[51, 2]",48,[],Web Development,Machine Learning,Web Development
157,157,User157,abcs123,"[41, 21]",10,[],Kotlin,Java,Java
158,158,User158,abcs123,"[79, 58]",84,[],Python,Flutter,Unity
159,159,User159,abcs123,"[88, 46]",17,[],VR/AR,Java,Java
160,160,User160,abcs123,"[11, 55]",44,[],Unity,VR/AR,Machine Learning
161,161,User161,abcs123,"[13, 31]",22,[],Machine Learning,Kotlin,Python
162,162,User162,abcs123,"[55, 75]",50,[],VR/AR,Kotlin,VR/AR
163,163,User163,abcs123,"[51, 67]",16,[],Kotlin,.NET,.NET
164,164,User164,abcs123,"[10, 50]",28,[],Web Development,Data Analysis,C++
165,165,User165,abcs123,"[39, 95]",0,[],VR/AR,Java,Unity
166,166,User166,abcs123,"[43, 28]",2,[],Data Analysis,.NET,Flutter
167,167,User167,abcs123,"[42, 99]",59,[],Machine Learning,Unity,Web Development
168,168,User168,abcs123,"[21, 9]",92,[],Web Development,Kotlin,Kotlin
169,169,User169,abcs123,"[65, 81]",54,[],C,C,Python
170,170,User170,abcs123,"[14, 67]",48,[],Flutter,Kotlin,Kotlin
171,171,User171,abcs123,"[65, 24]",29,[],Java,Java,C
172,172,User172,abcs123,"[99, 44]",58,[],Python,Flutter,Machine Learning
173,173,User173,abcs123,"[44, 93]",19,[],Unity,Unity,C++
174,174,User174,abcs123,"[82, 18]",24,[],Unity,Java,Machine Learning
175,175,User175,abcs123,"[30, 13]",97,[],Web Development,Java,Java
176,176,User176,abcs123,"[18, 32]",4,[],Kotlin,Web Development,Machine Learning
177,177,User177,abcs123,"[25, 22]",84,[],Flutter,C++,VR/AR
178,178,User178,abcs123,"[77, 19]",78,[],Kotlin,VR/AR,Flutter
179,179,User179,abcs123,"[97, 97]",2,[],Machine Learning,Web Development,Java
180,180,User180,abcs123,"[83, 9]",26,[],VR/AR,Kotlin,Unity
181,181,User181,abcs123,"[22, 98]",12,[],Web Development,Java,Web Development
182,182,User182,abcs123,"[80, 63]",4,[],VR/AR,VR/AR,Kotlin
183,183,User183,abcs123,"[59, 96]",76,[],Kotlin,C++,Unity
184,184,User184,abcs123,"[72, 97]",90,[],.NET,Web Development,Web Development
185,185,User185,abcs123,"[74, 57]",31,[],C++,Java,C
186,186,User186,abcs123,"[87, 72]",5,[],Flutter,Machine Learning,Java
187,187,User187,abcs123,"[82, 81]",56,[],Data Analysis,Unity,Java
188,188,User188,abcs123,"[79, 41]",69,[],Flutter,Web Development,C++
189,189,User189,abcs123,"[80, 40]",96,[],Kotlin,C++,Java
190,190,User190,abcs123,"[19, 56]",7,[],Kotlin,Web Development,Kotlin
191,191,User191,abcs123,"[8, 60]",64,[],Python,Data Analysis,Flutter
192,192,User192,abcs123,"[56, 80]",29,[],.NET,Data Analysis,C
193,193,User193,abcs123,"[38, 35]",93,[],Data Analysis,Kotlin,C++
194,194,User194,abcs123,"[75, 7]",40,[],Java,Machine Learning,.NET
195,195,User195,abcs123,"[45, 64]",76,[],Python,Flutter,Kotlin
196,196,User196,abcs123,"[9, 39]",86,[],Machine Learning,Flutter,Unity
197,197,User197,abcs123,"[59, 57]",41,[],Data Analysis,C++,Flutter
198,198,User198,abcs123,"[4, 7]",38,[],Web Development,C,Machine Learning
199,199,User199,abcs123,"[47, 36]",84,[],C++,Unity,Web Development
200,200,User200,abcs123,"[9, 82]",28,[],Python,Flutter,C
201,201,User201,abcs123,"[11, 78]",38,[],C++,Unity,Data Analysis
202,202,User202,abcs123,"[76, 64]",7,[],.NET,C++,Kotlin
203,203,User203,abcs123,"[49, 59]",75,[],Machine Learning,Machine Learning,Web Development
204,204,User204,abcs123,"[74, 70]",22,[],Machine Learning,C,Python
205,205,User205,abcs123,"[94, 5]",86,[],Unity,C,Web Development
206,206,User206,abcs123,"[57, 73]",71,[],Java,Data Analysis,Unity
207,207,User207,abcs123,"[83, 24]",6,[],Machine Learning,Kotlin,Web Development
208,208,User208,abcs123,"[41, 77]",82,[],Kotlin,Java,.NET
209,209,User209,abcs123,"[60, 64]",48,[],Flutter,C,.NET
210,210,User210,abcs123,"[19, 7]",67,[],Flutter,Python,VR/AR
211,211,User211,abcs123,"[57, 13]",89,[],VR/AR,C++,Java
212,212,User212,abcs123,"[43, 91]",52,[],Java,C,Flutter
213,213,User213,abcs123,"[10, 64]",38,[],Kotlin,C,Java
214,214,User214,abcs123,"[82, 22]",23,[],Flutter,.NET,Kotlin
215,215,User215,abcs123,"[5, 31]",68,[],Web Development,Unity,Java
216,216,User216,abcs123,"[90, 56]",30,[],Kotlin,Python,Data Analysis
217,217,User217,abcs123,"[56, 67]",38,[],.NET,.NET,Data Analysis
218,218,User218,abcs123,"[66, 78]",18,[],C,C,Kotlin
219,219,User219,abcs123,"[20, 46]",59,[],C++,Java,Kotlin
220,220,User220,abcs123,"[47, 36]",71,[],Kotlin,Python,C
221,221,User221,abcs123,"[49, 52]",53,[],Unity,Data Analysis,Java
222,222,User222,abcs123,"[99, 43]",67,[],Unity,Web Development,Data Analysis
223,223,User223,abcs123,"[86, 76]",49,[],C++,C,C++
224,224,User224,abcs123,"[6, 80]",32,[],Unity,C,Unity
225,225,User225,abcs123,"[82, 42]",42,[],Web Development,Kotlin,C++
226,226,User226,abcs123,"[8, 42]",10,[],C,Unity,.NET
227,227,User227,abcs123,"[12, 71]",47,[],VR/AR,Unity,C
228,228,User228,abcs123,"[86, 49]",68,[],VR/AR,Kotlin,C++
229,229,User229,abcs123,"[36, 32]",24,[],Data Analysis,.NET,C
230,230,User230,abcs123,"[92, 84]",34,[],Java,C++,Python
231,231,User231,abcs123,"[77, 19]",86,[],Kotlin,Java,Data Analysis
232,232,User232,abcs123,"[42, 10]",77,[],Java,C++,Unity
233,233,User233,abcs123,"[74, 84]",9,[],Machine Learning,Web Development,Java
234,234,User234,abcs123,"[18, 44]",97,[],C++,C,Unity
235,235,User235,abcs123,"[39, 83]",92,[],C++,Java,C
236,236,User236,abcs123,"[89, 84]",71,[],Machine Learning,Python,C
237,237,User237,abcs123,"[50, 16]",61,[],Data Analysis,C,VR/AR
238,238,User238,abcs123,"[76, 90]",42,[],Python,Data Analysis,VR/AR
239,239,User239,abcs123,"[10, 39]",1,[],.NET,VR/AR,Flutter
240,240,User240,abcs123,"[71, 48]",24,[],Kotlin,VR/AR,Java
241,241,User241,abcs123,"[82, 42]",15,[],C++,C,Python
242,242,User242,abcs123,"[16, 85]",96,[],.NET,Unity,Flutter
243,243,User243,abcs123,"[89, 94]",31,[],C++,Flutter,Kotlin
244,244,User244,abcs123,"[87, 67]",77,[],Python,Java,.NET
245,245,User245,abcs123,"[11, 82]",26,[],Machine Learning,Flutter,Data Analysis
246,246,User246,abcs123,"[85, 54]",30,[],Unity,.NET,Machine Learning
247,247,User247,abcs123,"[65, 46]",41,[],VR/AR,Kotlin,Java
248,248,User248,abcs123,"[2, 46]",36,[],Python,Python,Machine Learning
249,249,User249,abcs123,"[39, 23]",59,[],C++,C,Kotlin
250,250,User250,abcs123,"[27, 43]",83,[],Machine Learning,.NET,Java
251,251,User251,abcs123,"[98, 62]",39,[],Python,.NET,Python
252,252,User252,abcs123,"[24, 28]",46,[],Data Analysis,VR/AR,Unity
253,253,User253,abcs123,"[17, 19]",63,[],Machine Learning,Python,Flutter
254,254,User254,abcs123,"[9, 37]",12,[],Kotlin,Machine Learning,C
255,255,User255,abcs123,"[12, 64]",92,[],C++,VR/AR,VR/AR
256,256,User256,abcs123,"[98, 69]",97,[],Web Development,C,Flutter
257,257,User257,abcs123,"[94, 67]",40,[],VR/AR,Flutter,Machine Learning
258,258,User258,abcs123,"[4, 84]",47,[],Java,Java,Java
259,259,User259,abcs123,"[43, 98]",52,[],C++,Flutter,Web Development
260,260,User260,abcs123,"[79, 16]",72,[],Kotlin,Python,Data Analysis
261,261,User261,abcs123,"[76, 48]",94,[],Flutter,Web Development,.NET
262,262,User262,abcs123,"[19, 20]",2,[],Unity,C,Unity
263,263,User263,abcs123,"[23, 88]",70,[],.NET,Data Analysis,C
264,264,User264,abcs123,"[98, 79]",74,[],.NET,C++,VR/AR
265,265,User265,abcs123,"[21, 92]",53,[],Java,Java,Machine Learning
266,266,User266,abcs123,"[56, 5]",19,[],C++,Data Analysis,Data Analysis
267,267,User267,abcs123,"[52, 46]",42,[],Java,Data Analysis,VR/AR
268,268,User268,abcs123,"[86, 92]",48,[],C,C,Kotlin
269,269,User269,abcs123,"[30, 56]",31,[],C++,Web Development,C
270,270,User270,abcs123,"[78, 36]",70,[],Machine Learning,C,Data Analysis
271,271,User271,abcs123,"[96, 95]",87,[],Machine Learning,Web Development,VR/AR
272,272,User272,abcs123,"[57, 29]",32,[],VR/AR,Machine Learning,Unity
273,273,User273,abcs123,"[68, 30]",62,[],C,Java,Java
274,274,User274,abcs123,"[39, 60]",82,[],Data Analysis,Python,Kotlin
275,275,User275,abcs123,"[24, 47]",62,[],C,Unity,Python
276,276,User276,abcs123,"[86, 73]",21,[],C,Kotlin,.NET
277,277,User277,abcs123,"[56, 59]",45,[],Java,Python,Machine Learning
278,278,User278,abcs123,"[98, 36]",17,[],Unity,Data Analysis,C++
279,279,User279,abcs123,"[99, 48]",69,[],Python,C++,VR/AR
280,280,User280,abcs123,"[64, 67]",23,[],VR/AR,VR/AR,VR/AR
281,281,User281,abcs123,"[53, 20]",82,[],VR/AR,Machine Learning,Web Development
282,282,User282,abcs123,"[25, 77]",67,[],VR/AR,VR/AR,C++
283,283,User283,abcs123,"[17, 32]",9,[],Machine Learning,Python,Unity
284,284,User284,abcs123,"[6, 82]",85,[],Python,Python,Machine Learning
285,285,User285,abcs123,"[61, 47]",97,[],C,C++,C
286,286,User286,abcs123,"[70, 13]",52,[],Unity,C++,Machine Learning
287,287,User287,abcs123,"[91, 66]",80,[],Data Analysis,Python,VR/AR
288,288,User288,abcs123,"[15, 36]",8,[],Machine Learning,.NET,Unity
289,289,User289,abcs123,"[10, 97]",19,[],C++,Flutter,Machine Learning
290,290,User290,abcs123,"[20, 34]",27,[],C++,C++,Java
291,291,User291,abcs123,"[57, 65]",58,[],C++,Flutter,Flutter
292,292,User292,abcs123,"[18, 55]",7,[],Kotlin,Java,Unity
293,293,User293,abcs123,"[11, 28]",81,[],Java,VR/AR,Web Development
294,294,User294,abcs123,"[57, 44]",78,[],Flutter,Machine Learning,Python
295,295,User295,abcs123,"[3, 53]",84,[],C,.NET,Python
296,296,User296,abcs123,"[6, 50]",2,[],Flutter,C++,Data Analysis
297,297,User297,abcs123,"[64, 47]",68,[],Web Development,Java,Python
298,298,User298,abcs123,"[30, 49]",52,[],Java,Unity,Web Development
299,299,User299,abcs123,"[10, 47]",2,[],C++,Web Development,Data Analysis
300,300,User300,abcs123,"[28, 3]",92,[],Machine Learning,Data Analysis,Data Analysis
301,301,User301,abcs123,"[40, 12]",68,[],Java,Flutter,C
302,302,User302,abcs123,"[91, 83]",2,[],Kotlin,.NET,Flutter
303,303,User303,abcs123,"[42, 18]",89,[],Machine Learning,.NET,C++
304,304,User304,abcs123,"[17, 4]",55,[],Python,Unity,Kotlin
305,305,User305,abcs123,"[36, 60]",22,[],VR/AR,Unity,C
306,306,User306,abcs123,"[89, 17]",12,[],Kotlin,Machine Learning,.NET
307,307,User307,abcs123,"[97, 90]",19,[],Python,Flutter,VR/AR
308,308,User308,abcs123,"[60, 57]",24,[],Machine Learning,Web Development,Flutter
309,309,User309,abcs123,"[78, 0]",67,[],C++,Machine Learning,Flutter
310,310,User310,abcs123,"[10, 2]",45,[],Flutter,.NET,Flutter
311,311,User311,abcs123,"[32, 27]",50,[],C,Python,Machine Learning
312,312,User312,abcs123,"[19, 70]",47,[],Java,Web Development,.NET
313,313,User313,abcs123,"[93, 77]",58,[],Java,.NET,C
314,314,User314,abcs123,"[67, 54]",31,[],C++,VR/AR,.NET
315,315,User315,abcs123,"[14, 99]",28,[],C,C,VR/AR
316,316,User316,abcs123,"[36, 30]",87,[],Python,C,C++
317,317,User317,abcs123,"[38, 15]",10,[],Flutter,Unity,Java
318,318,User318,abcs123,"[6, 30]",83,[],C,C++,.NET
319,319,User319,abcs123,"[53, 81]",4,[],Python,Machine Learning,Flutter
320,320,User320,abcs123,"[79, 58]",51,[],C,.NET,C++
321,321,User321,abcs123,"[8, 14]",48,[],Web Development,Unity,Java
322,322,User322,abcs123,"[63, 76]",60,[],Java,VR/AR,VR/AR
323,323,User323,abcs123,"[68, 2]",81,[],Web Development,C++,Web Development
324,324,User324,abcs123,"[80, 65]",89,[],C,Machine Learning,Java
325,325,User325,abcs123,"[73, 30]",10,[],Unity,Unity,Web Development
326,326,User326,abcs123,"[91, 18]",55,[],Unity,Web Development,VR/AR
327,327,User327,abcs123,"[37, 54]",42,[],Kotlin,VR/AR,Python
328,328,User328,abcs123,"[0, 78]",12,[],VR/AR,.NET,Java
329,329,User329,abcs123,"[45, 30]",5,[],Unity,Machine Learning,Web Development
330,330,User330,abcs123,"[73, 53]",27,[],Java,.NET,VR/AR
331,331,User331,abcs123,"[23, 85]",72,[],Flutter,Python,Kotlin
332,332,User332,abcs123,"[85, 10]",34,[],C++,Data Analysis,Flutter
333,333,User333,abcs123,"[67, 46]",9,[],Web Development,Kotlin,Machine Learning
334,334,User334,abcs123,"[8, 67]",35,[],C++,C,Java
335,335,User335,abcs123,"[69, 64]",72,[],Python,VR/AR,Data Analysis
336,336,User336,abcs123,"[64, 70]",4,[],.NET,Data Analysis,.NET
337,337,User337,abcs123,"[2, 49]",40,[],Unity,Machine Learning,Web Development
338,338,User338,abcs123,"[60, 5]",26,[],Kotlin,Kotlin,VR/AR
339,339,User339,abcs123,"[81, 49]",18,[],Python,VR/AR,C
340,340,User340,abcs123,"[47, 32]",91,[],Unity,Data Analysis,Unity
341,341,User341,abcs123,"[95, 2]",50,[],Data Analysis,Python,Web Development
342,342,User342,abcs123,"[45, 8]",38,[],Python,C,Java
343,343,User343,abcs123,"[44, 30]",72,[],Python,Java,Web Development
344,344,User344,abcs123,"[93, 84]",72,[],.NET,Machine Learning,C++
345,345,User345,abcs123,"[80, 13]",49,[],Java,C,C
346,346,User346,abcs123,"[98, 74]",69,[],Kotlin,Data Analysis,Java
347,347,User347,abcs123,"[94, 96]",49,[],Kotlin,VR/AR,Machine Learning
348,348,User348,abcs123,"[42, 17]",94,[],Flutter,Java,C++
349,349,User349,abcs123,"[5, 45]",88,[],Python,Unity,C
350,350,User350,abcs123,"[69, 43]",10,[],Kotlin,Flutter,.NET
351,351,User351,abcs123,"[82, 22]",95,[],Machine Learning,C,Data Analysis
352,352,User352,abcs123,"[99, 87]",6,[],Flutter,Flutter,.NET
353,353,User353,abcs123,"[59, 89]",55,[],Machine Learning,Unity,Web Development
354,354,User354,abcs123,"[61, 80]",9,[],.NET,Kotlin,Unity
355,355,User355,abcs123,"[23, 17]",77,[],Machine Learning,VR/AR,Web Development
356,356,User356,abcs123,"[8, 91]",78,[],VR/AR,Web Development,Python
357,357,User357,abcs123,"[99, 58]",50,[],C++,.NET,VR/AR
358,358,User358,abcs123,"[4, 37]",41,[],C,Kotlin,C
359,359,User359,abcs123,"[25, 5]",81,[],Machine Learning,Java,Web Development
360,360,User360,abcs123,"[25, 5]",57,[],.NET,Java,Python
361,361,User361,abcs123,"[40, 39]",29,[],C++,C,.NET
362,362,User362,abcs123,"[65, 50]",70,[],.NET,Unity,VR/AR
363,363,User363,abcs123,"[69, 60]",55,[],.NET,.NET,Unity
364,364,User364,abcs123,"[32, 4]",87,[],Python,Web Development,Python
365,365,User365,abcs123,"[96, 82]",84,[],.NET,Data Analysis,.NET
366,366,User366,abcs123,"[24, 36]",10,[],Machine Learning,C++,Unity
367,367,User367,abcs123,"[45, 99]",79,[],C,Machine Learning,Java
368,368,User368,abcs123,"[6, 83]",31,[],VR/AR,Web Development,Web Development
369,369,User369,abcs123,"[42, 34]",9,[],.NET,Java,C++
